legacy_id	legacy_sequence	video_id	canonical_playlist_index	canonical_title	youtube_url
ilk-001	001	PoTDj18j6GU	071	2300 Year Prophecy? || I'd Like to Know	https://www.youtube.com/watch?v=PoTDj18j6GU
ilk-002	002	147ltKm2k_Y	089	666 and USA? || I'd Like to Know?	https://www.youtube.com/watch?v=147ltKm2k_Y
ilk-003	003	MszNn-FVtZ8	249	9. I'd Like To Know - Pr. Stephen Bohr and Pr. James Rafferty - What is the Angel of Death	https://www.youtube.com/watch?v=MszNn-FVtZ8
ilk-004	004	Z0AZsSlFmeo	254	A Special Resurrection During the Crucifixion? || I’d Like to Know	https://www.youtube.com/watch?v=Z0AZsSlFmeo
ilk-005	005	eaxd_cghbRQ	145	Aborted Babies Going to Heaven? || I’d Like to Know	https://www.youtube.com/watch?v=eaxd_cghbRQ
ilk-006	006	YdJYKxsdgS4	062	ABORTION in extreme circumstances? || I'd like to know	https://www.youtube.com/watch?v=YdJYKxsdgS4
ilk-007	007	K5aBeF0x-ik	141	Abuse on Women in the Old Testament? || I’d Like to Know	https://www.youtube.com/watch?v=K5aBeF0x-ik
ilk-008	008	PI925GCuxOw	128	Allowed to Procrastinate? || I’d Like to Know	https://www.youtube.com/watch?v=PI925GCuxOw
ilk-009	009	qLBqbOhiTKI	079	Angelic Heredity Possible?  || I'd Like to Know	https://www.youtube.com/watch?v=qLBqbOhiTKI
ilk-010	010	nZru9KrwrdA	239	Angels Using Golden Cards? || I’d Like to Know	https://www.youtube.com/watch?v=nZru9KrwrdA
ilk-011	011	6X5D3bVYB6E	162	Are Drums Good? || I’d Like to Know	https://www.youtube.com/watch?v=6X5D3bVYB6E
ilk-012	012	d3IRYSvQcrw	038	Are Prophets for Today? || I'd Like to Know with Pr. Stephen Bohr	https://www.youtube.com/watch?v=d3IRYSvQcrw
ilk-013	013	h31OQA5PplE	117	Are Sabbath Games Okay? || I’d Like to Know	https://www.youtube.com/watch?v=h31OQA5PplE
ilk-014	014	Db5aGWXb1zM	030	Are the 24 Elders Literal or Symbolic? || I'd Like to Know - Pastor Stephen Bohr	https://www.youtube.com/watch?v=Db5aGWXb1zM
ilk-015	015	AlA0WdySUnk	197	Are Vaccines the Mark of the Beasts? || I’d Like to Know	https://www.youtube.com/watch?v=AlA0WdySUnk
ilk-016	016	BthIHIYl6JU	196	Are We Born Sinners? || I’d Like to Know	https://www.youtube.com/watch?v=BthIHIYl6JU
ilk-017	017	6LjOKbINnUY	050	Are We Taking Messianic Prophecies Out of Context? | I'd Like to Know with Pastor Stephen Bohr	https://www.youtube.com/watch?v=6LjOKbINnUY
ilk-018	018	LKbhsoIuxTs	088	Ark of the Covenant Lost? || I'd Like to Know?	https://www.youtube.com/watch?v=LKbhsoIuxTs
ilk-019	019	dEyoIRBdBPw	135	Babies not going to Heaven? || I’d Like to Know	https://www.youtube.com/watch?v=dEyoIRBdBPw
ilk-020	020	p8jbvLYgtZE	119	Baptism in the Sea of Glass? || I’d Like to Know	https://www.youtube.com/watch?v=p8jbvLYgtZE
ilk-021	021	NHtbRfL3b2Q	152	Biblical Facts on Black Slavery? || I’d Like to Know	https://www.youtube.com/watch?v=NHtbRfL3b2Q
ilk-022	022	RbFQtoE8ouQ	166	Biking During the Sabbath? || I’d Like to Know	https://www.youtube.com/watch?v=RbFQtoE8ouQ
ilk-023	023	8MqUW6hgsaU	168	Blood That Talks? || I’d Like to Know	https://www.youtube.com/watch?v=8MqUW6hgsaU
ilk-024	024	UPwyuLSrNS0	111	Body, Soul, and Spirit? || I’d Like to Know	https://www.youtube.com/watch?v=UPwyuLSrNS0
ilk-025	025	BM3a9QlXa78	173	Breaking the Sabbath in Jericho? || I’d Like to Know	https://www.youtube.com/watch?v=BM3a9QlXa78
ilk-026	026	RP0S2P1KvME	243	Buying and Selling Literal or Symbolic? || I’d Like to Know	https://www.youtube.com/watch?v=RP0S2P1KvME
